genNum,genMean,genBest
0,190932.38,201867
1,242296.33,252365
2,261950.1,269935
3,276156.08,282943
4,286126.2,292922
5,292815.71,296438
6,297427.68,300750
7,300069.82,303611
8,301942.23,303881
9,302947.13,304991
10,303792.55,305438
11,303579.36,305118
12,303770.03,305754
13,303760.02,305365
14,303671.03,305386
15,303671.16,305455
16,303624.14,305696
17,303761.97,305596
18,303656.33,305178
19,303809.28,305254
20,303584.12,305267
21,303596.91,305505
22,303667.46,305561
23,303678.09,305345
24,303734.04,305400
25,303682.05,305254
26,303606.58,305753
27,303619.51,304961
28,303602.84,305341
29,303722.9,305674
30,304192.69,305346
31,304577.01,306232
32,304659.84,306086
33,304622.3,305998
34,304545.27,306192
35,304496.21,305828
36,304571.34,305722
37,304507.09,305950
38,304600.84,306009
39,304541.8,305930
40,304526.17,305886
41,304519.15,306247
42,304588.78,306000
43,304631.24,305848
44,304432.52,305772
45,304577.08,305869
46,304547.45,305790
47,304574.59,305542
48,304569.96,306139
49,304521.99,306009
50,304519.91,305793
51,304621.09,305854
52,304662.86,306045
53,304539.0,306120
54,304568.93,306144
55,304658.76,305800
56,304527.01,305699
57,304587.63,305824
58,304568.1,305780
59,304594.73,305955
60,304632.38,305729
61,304542.28,306112
62,304595.87,306030
63,304594.32,305920
64,304585.82,305965
65,304619.21,305943
66,304575.79,305763
67,304567.93,305921
68,304685.11,305995
69,304623.25,305753
70,304586.09,305910
71,304687.62,305896
72,304515.38,305768
73,304507.02,305753
74,304634.1,305944
75,304697.35,305897
76,304645.83,305877
77,304590.34,306013
78,304651.05,306018
79,304629.07,306142
80,304604.87,306025
81,304593.19,305720
82,304627.68,306141
83,304578.71,305973
84,304627.17,305918
85,304597.99,305924
86,304624.5,306045
87,304679.3,305797
88,304639.18,305774
89,304649.4,305937
90,304556.05,305903
91,304545.2,306064
92,304693.46,306300
93,304648.75,305914
94,304615.0,306138
95,304719.74,305949
96,304561.56,306060
97,304712.67,306027
98,304748.67,305784
99,304641.16,305865
100,304567.55,305669
101,304677.62,305850
102,304685.95,305970
103,304668.72,305886
104,304726.36,306172
105,304629.27,305887
106,304709.6,305986
