genNum,genMean,genBest
0,0.0,0
1,185842.47,200990
2,221257.5,232022
3,248461.49,256499
4,267269.96,273249
5,281064.64,286906
6,289865.47,292828
7,295717.62,299458
8,299051.49,301906
9,301353.27,303197
10,302712.82,304728
11,302710.9,304564
12,302534.71,304390
13,302751.03,305214
14,302790.01,304688
15,302690.33,304657
16,302820.88,304811
17,302780.35,304776
18,302793.35,305427
19,302750.4,304605
20,302743.55,304415
21,302828.2,305302
22,302663.47,304650
23,302699.68,304409
24,302807.34,304560
25,302708.89,305007
26,302847.72,304737
27,302758.48,304507
28,302831.41,304858
29,302687.14,304620
30,302750.43,304711
31,302640.35,304952
32,302716.49,304790
33,302863.27,305111
34,302746.14,304831
35,302789.46,304963
36,303914.69,305499
37,304349.53,305799
38,304299.97,305872
39,304455.18,305613
40,304497.07,305934
41,304364.65,305581
42,304350.67,305773
43,304348.33,305635
44,304423.87,305923
45,304358.21,305740
46,304457.75,306004
47,304350.64,305742
48,304441.72,305561
49,304360.03,305932
50,304318.34,305618
51,304433.0,305753
52,304402.02,305669
53,304474.58,305895
54,304397.66,306030
55,304508.82,305834
56,304371.95,305790
57,304351.03,305857
58,304279.08,305715
59,304325.5,306098
60,304358.44,305656
61,304283.96,305894
62,304293.72,305776
63,304403.19,305564
64,304319.14,305752
65,304322.1,305932
66,304407.28,306132
67,304402.94,305439
68,304419.27,305854
69,304429.54,305763
70,304410.67,305721
71,304343.67,305908
72,304347.47,306193
73,304336.91,305594
74,304362.71,305930
75,304414.85,305804
76,304349.36,305659
77,304469.98,305846
78,304366.64,305973
79,304405.12,306211
80,304254.18,305823
81,304229.04,305533
82,304470.22,305834
83,304391.7,306041
84,304354.37,306217
85,304318.17,305714
86,304389.08,305695
87,304462.74,305891
88,304550.09,305911
89,304457.35,306014
90,304447.69,305855
91,304428.96,305698
92,304361.24,305600
93,304413.24,306037
94,304316.61,305819
95,304512.22,305962
96,304344.22,305528
97,304430.22,305572
98,304466.79,305807
99,304514.16,305644
100,304452.51,305681
101,304430.84,305987
102,304619.63,305836
103,304628.7,305931
104,304586.58,305932
105,304669.67,306137
106,304609.02,305849
107,304689.72,306097
108,304696.86,305865
109,304554.15,305896
110,304684.05,306035
111,304719.1,305860
112,304587.85,305868
113,304678.98,306133
114,304633.0,306027
115,304657.23,306029
116,304617.73,305845
117,304651.76,306189
118,304666.92,305930
119,304697.93,305955
120,304581.62,305907
121,304559.3,306127
122,304676.59,305948
123,304657.33,305844
124,304665.73,306073
125,304624.92,305991
126,304639.28,305956
127,304577.5,305788
128,304595.4,306112
129,304609.95,306027
130,304627.32,306184
131,304556.49,306189
132,304470.68,305705
133,304455.1,305753
134,304679.91,306021
135,304756.36,305981
136,304605.03,305780
137,304628.14,305836
138,304624.88,305918
139,304649.96,305977
140,304567.05,305896
141,304458.68,305826
142,304625.75,305999
143,304613.78,305921
144,304613.66,306081
145,304644.49,306043
146,304674.74,306133
147,304726.46,305863
148,304546.1,306216
149,304623.37,306165
150,304590.22,305848
151,304552.87,305712
152,304684.84,305833
153,304618.17,306003
154,304537.66,305885
155,304749.15,305778
156,304585.76,306146
157,304677.49,305853
158,304476.87,305813
159,304757.67,305793
160,304668.05,305852
161,304649.99,305771
162,304582.73,305859
163,304603.6,305845
164,304596.97,305744
165,304557.13,306214
166,304514.98,305708
167,304496.52,305933
168,304627.39,305743
169,304578.18,305942
170,304704.37,305956
171,304689.14,306105
172,304690.63,305967
173,304646.68,305867
174,304748.11,305958
175,304721.88,305995
176,304713.07,306348
177,304636.8,305895
178,304623.21,305880
179,304636.61,306060
180,304627.15,305972
181,304587.27,305731
182,304718.65,306118
183,304610.67,306094
184,304712.29,306003
185,304674.9,305855
186,304460.2,305525
187,304616.93,305662
188,304534.0,305814
189,304576.04,305970
190,304715.6,306061
191,304604.16,305832
192,304624.54,305826
193,304564.16,306029
194,304633.14,305872
195,304578.88,305763
196,304670.25,305890
197,304680.58,305854
198,304646.77,305829
199,304612.11,306026
200,304621.87,305896
201,304563.64,305743
202,304616.05,306038
203,304638.64,306017
204,304543.95,306002
205,304661.49,306037
206,304619.37,305878
207,304677.1,306301
208,304691.74,305787
209,304623.14,306141
210,304629.39,305919
211,304748.09,305890
212,304633.48,305943
213,304672.16,306046
214,304606.73,306035
215,304736.13,305982
216,304680.04,306134
217,304629.78,306189
218,304777.18,306272
219,304590.92,306009
220,304669.28,305916
221,304640.53,305807
222,304664.85,306167
223,304653.89,305943
224,304660.74,305950
225,304644.86,305875
226,304692.93,305913
227,304680.28,305969
228,304574.01,305809
229,304608.51,305860
230,304478.55,305957
231,304663.87,305870
232,304579.96,305544
233,304658.47,305957
234,304643.95,306012
235,304634.73,305894
236,304645.77,305877
237,304640.81,305690
238,304572.28,305939
239,304571.67,305908
240,304535.98,305963
241,304499.94,305974
242,304613.46,305902
243,304555.01,305855
244,304797.73,306049
245,304541.89,306103
246,304687.74,305889
247,304686.23,305787
248,304658.75,305765
249,304681.99,306025
250,304595.14,305995
251,304729.05,306305
252,304702.76,305704
253,304596.21,305935
254,304668.97,305737
255,304628.42,305939
256,304597.91,305837
257,304556.85,306077
258,304681.59,306000
259,304661.85,305959
260,304601.56,305819
261,304604.93,305771
262,304601.56,306060
263,304662.02,305854
264,304662.29,305774
265,304724.65,305902
266,304767.96,306051
267,304591.89,305871
268,304619.8,305976
269,304662.58,305973
270,304547.0,305777
271,304627.54,305903
272,304668.99,306215
273,304620.07,306069
274,304724.29,306260
275,304599.01,305951
276,304712.63,306252
277,304651.12,306051
278,304629.52,305784
279,304453.71,305548
280,304658.07,306073
281,304626.65,305873
282,304656.18,306010
283,304590.48,306067
284,304651.41,305919
285,304682.72,306146
286,304636.67,305791
287,304644.25,305940
288,304703.13,305908
289,304571.76,305989
290,304588.33,305806
291,304639.48,305886
292,304576.09,305776
293,304629.03,306092
294,304717.17,305942
295,304540.13,305845
296,304643.27,306108
297,304665.64,306023
298,304487.23,305850
299,304584.38,305886
300,304662.75,305837
301,304658.96,305870
302,304678.82,305890
303,304549.24,305836
304,304634.57,305943
305,304691.44,306199
306,304546.1,305817
307,304596.67,305983
308,304631.28,306042
309,304619.48,305741
310,304607.78,305753
311,304621.91,305991
312,304564.73,305835
313,304720.24,305756
314,304550.04,306050
315,304637.14,306007
316,304557.64,305810
317,304662.85,306070
318,304670.12,305934
319,304625.91,306019
320,304619.72,305759
321,304681.66,305991
322,304734.7,305988
323,304682.2,305882
324,304639.7,305744
325,304718.38,305848
326,304720.41,305961
327,304625.19,306032
328,304586.28,305912
329,304705.69,305851
330,304694.52,305930
331,304653.8,305926
332,304666.61,305942
333,304658.67,306162
334,304561.74,306211
335,304560.57,305708
336,304591.82,305734
337,304609.21,306053
338,304637.25,306067
339,304706.03,305783
340,304592.9,306261
341,304755.55,306027
342,304760.87,305817
343,304600.26,306100
344,304643.92,305895
345,304660.15,306057
346,304714.32,306094
347,304526.04,305930
348,304485.55,305971
349,304582.39,306042
350,304655.19,305986
351,304663.11,306066
352,304641.44,305790
353,304603.5,305971
354,304626.96,306318
355,304626.74,305681
356,304621.14,305909
357,304603.79,305891
358,304526.53,306111
359,304493.31,305724
360,304648.06,306264
361,304582.43,305562
362,304707.16,305786
363,304575.16,305911
364,304541.53,305890
365,304578.67,305770
366,304637.42,306176
367,304637.84,305669
368,304665.88,305828
369,304594.03,306087
370,304649.42,305886
371,304685.46,305948
372,304628.42,305900
373,304739.06,306134
374,304654.82,306102
375,304619.05,306032
376,304683.34,306252
377,304686.85,305977
378,304547.35,306195
379,304469.56,305578
380,304536.83,305683
381,304592.62,306073
382,304628.41,305938
383,304548.0,305690
384,304564.42,305987
385,304716.58,305912
386,304692.9,305797
387,304534.54,305788
388,304639.11,305912
389,304721.95,306209
390,304596.0,305815
391,304646.39,305897
392,304630.51,305790
393,304717.71,306144
394,304653.75,306067
395,304622.21,305872
396,304622.35,305983
397,304657.34,305834
398,304490.14,305818
399,304567.29,305812
400,304582.6,306126
401,304649.58,306096
402,304552.27,306026
403,304540.2,305894
404,304672.66,305874
405,304570.69,305979
406,304711.63,305698
407,304564.01,305940
408,304659.72,305750
409,304690.84,306146
410,304601.7,306034
411,304523.95,305927
412,304756.35,306282
413,304638.07,305839
414,304592.46,305897
415,304549.36,305878
416,304644.53,306057
417,304595.0,306294
418,304661.27,305721
419,304661.11,305717
420,304610.69,306052
421,304638.28,305822
422,304629.06,306071
423,304669.39,306054
424,304633.08,305941
425,304690.96,305808
426,304593.18,305983
427,304608.71,305828
428,304692.03,305921
429,304662.23,306260
430,304597.85,306116
431,304629.74,306149
432,304622.81,306073
433,304581.71,305819
434,304736.24,305904
435,304521.95,305789
436,304621.22,305800
437,304571.74,305598
438,304674.34,305863
439,304755.87,306065
440,304634.22,305969
441,304526.64,305797
442,304545.2,305813
443,304543.15,306035
444,304574.08,305846
445,304666.35,306073
446,304615.3,306322
447,304573.83,305904
448,304685.1,305961
449,304588.9,305740
450,304574.6,305820
451,304610.93,305999
452,304601.54,305817
453,304669.35,305986
454,304525.99,305961
455,304557.95,305862
456,304547.67,306048
457,304623.79,306017
458,304684.5,306166
