genNum,genMean,genBest
0,186922.93,199542
1,253977.91,261718
2,274090.16,279244
3,286900.17,291601
4,294520.67,297834
5,298612.79,301593
6,301511.64,304074
7,302958.99,304894
8,303699.24,305761
9,304185.24,305628
10,304326.33,305758
11,304381.67,305877
12,304403.92,305989
13,304345.65,305777
14,304475.91,305890
15,304340.52,306077
16,304426.26,305826
17,304325.19,305813
18,304479.58,305687
19,304331.36,305777
20,304356.43,305869
21,304273.55,305844
22,304469.87,306046
23,304296.48,306234
24,304252.6,305748
25,304282.27,305978
26,304372.3,305500
27,304260.92,305668
28,304405.05,305719
29,304426.64,305576
30,304251.97,305971
31,304476.82,305957
32,304412.71,306043
33,304278.72,305455
34,304426.92,305861
35,304475.58,305805
36,304388.28,306034
37,304405.08,305885
38,304351.71,305920
39,304280.0,306104
40,304401.55,305725
41,304434.24,305817
42,304573.34,305974
43,304652.75,306132
44,304570.24,305895
45,304613.15,306001
46,304688.87,306032
47,304706.85,305889
48,304501.79,305681
49,304639.28,306060
50,304572.02,306270
51,304578.66,306062
52,304636.46,305996
53,304518.19,305733
54,304649.88,306184
55,304594.45,305835
56,304662.08,306273
57,304560.17,305972
58,304651.85,305762
59,304627.23,305827
60,304601.12,305854
61,304482.06,305633
62,304572.73,305834
63,304610.58,305953
64,304567.91,305842
65,304551.64,305897
66,304565.4,306272
67,304553.86,306012
68,304595.51,305840
69,304620.31,305704
70,304696.22,305854
71,304632.17,306000
72,304675.6,305732
73,304702.42,305915
74,304678.49,306345
75,304661.9,305774
76,304657.59,305948
77,304700.25,306348
78,304677.68,306270
79,304679.67,305896
80,304581.5,305890
81,304612.54,305824
82,304712.54,306151
83,304703.91,305754
84,304626.96,305946
85,304636.91,305923
86,304705.52,306018
87,304777.87,306049
88,304700.64,305907
89,304559.22,305871
90,304691.11,305917
91,304687.45,306067
92,304581.32,305822
93,304636.21,305719
94,304627.25,305991
95,304604.16,306076
96,304618.38,305837
97,304611.07,305963
98,304610.74,305988
99,304609.39,306019
