genNum,genMean,genBest
0,187081.58,199226
1,305437.93,306348
2,306337.36,306348
3,306348.0,306348
4,306348.0,306348
5,306348.0,306348
6,306348.0,306348
7,306348.0,306348
8,306348.0,306348
9,306348.0,306348
10,306348.0,306348
11,306348.0,306348
12,306348.0,306348
13,306348.0,306348
14,306348.0,306348
15,306348.0,306348
16,306348.0,306348
17,306348.0,306348
18,306348.0,306348
19,306348.0,306348
20,306348.0,306348
21,306348.0,306348
22,306348.0,306348
23,306348.0,306348
24,306348.0,306348
25,306348.0,306348
26,306348.0,306348
27,306348.0,306348
28,306348.0,306348
29,306348.0,306348
30,306348.0,306348
31,306348.0,306348
32,306348.0,306348
33,306348.0,306348
34,306348.0,306348
35,306348.0,306348
36,306348.0,306348
37,306348.0,306348
38,306348.0,306348
39,306348.0,306348
40,306348.0,306348
41,306348.0,306348
42,306348.0,306348
43,306348.0,306348
44,306348.0,306348
45,306348.0,306348
46,306348.0,306348
47,306348.0,306348
48,306348.0,306348
49,306348.0,306348
50,306348.0,306348
51,306348.0,306348
52,306348.0,306348
53,306348.0,306348
54,306348.0,306348
55,306348.0,306348
56,306348.0,306348
57,306348.0,306348
58,306348.0,306348
59,306348.0,306348
60,306348.0,306348
61,306348.0,306348
62,306348.0,306348
63,306348.0,306348
64,306348.0,306348
65,306348.0,306348
66,306348.0,306348
67,306348.0,306348
68,306348.0,306348
69,306348.0,306348
70,306348.0,306348
71,306348.0,306348
72,306348.0,306348
73,306348.0,306348
74,306348.0,306348
75,306348.0,306348
76,306348.0,306348
77,306348.0,306348
78,306348.0,306348
79,306348.0,306348
80,306348.0,306348
81,306348.0,306348
82,306348.0,306348
83,306348.0,306348
84,306348.0,306348
85,306348.0,306348
86,306348.0,306348
87,306348.0,306348
88,306348.0,306348
89,306348.0,306348
90,306348.0,306348
91,306348.0,306348
92,306348.0,306348
93,306348.0,306348
94,306348.0,306348
95,306348.0,306348
96,306348.0,306348
97,306348.0,306348
98,306348.0,306348
99,306348.0,306348
