genNum,genMean,genBest
0,186179.85,201671
1,224009.6,234157
2,224147.79,234702
3,223907.16,235292
4,224118.55,233086
5,223738.9,234373
6,223802.26,231494
7,224002.03,232846
8,224378.64,233390
9,223889.94,235280
10,223446.5,237410
11,223235.34,233306
12,223495.25,236595
13,223781.17,233463
14,224040.16,232905
15,223729.51,234732
16,223503.05,236095
17,223889.45,234615
18,224384.34,233987
19,223575.75,234789
20,223567.65,233513
21,224448.11,236627
22,224429.61,235875
23,223521.62,234361
24,223452.66,235401
25,223679.12,232342
26,224141.61,233526
27,223422.46,235276
28,267101.68,272500
29,287738.02,293009
30,287351.42,293029
31,287544.69,292043
32,287674.35,293017
33,287838.2,292000
34,287580.72,292437
35,287504.04,292069
36,287828.13,291052
37,287865.97,292979
38,287783.37,293845
39,287692.16,292550
40,287961.79,292815
41,287493.68,292340
42,287798.45,292272
43,288069.12,293139
44,287632.5,293701
45,287787.06,291739
46,287930.37,293385
47,288113.51,293074
48,287491.04,291942
49,287653.47,292148
50,287611.08,291603
51,287869.56,293520
52,287934.99,292600
53,287629.3,293825
54,287638.36,292304
55,287746.42,293423
56,296742.28,300775
57,300597.92,303093
58,300878.01,303944
59,300709.23,303245
60,300795.83,303999
61,300755.86,303860
62,300871.99,303441
63,300817.37,303460
64,300718.49,302696
65,300632.56,303000
66,300761.7,303313
67,300618.35,302769
68,300835.14,303175
69,300735.05,303324
70,300813.66,303322
71,300745.4,303326
72,300617.55,303561
73,300584.21,303157
74,300768.39,303405
75,300717.84,303625
76,300632.5,302850
77,300881.28,303690
78,302638.06,304431
79,303619.88,305219
80,303586.56,305061
81,303702.66,305130
82,303644.5,305050
83,303569.04,305610
84,303636.18,305351
85,303637.82,305373
86,303644.81,305350
87,303562.61,305048
88,303618.35,305247
89,303743.56,305017
90,303560.0,305394
91,303594.48,305127
92,303613.29,304871
93,303645.59,305475
94,303638.39,306031
95,303665.84,305532
96,303505.72,304991
97,303696.28,304923
98,303600.82,305447
99,303683.05,305663
100,303705.36,305637
101,303641.95,305471
102,303648.91,305549
103,303715.71,305247
104,303651.28,305560
105,303522.41,305642
106,303764.33,305828
107,303474.05,305076
108,303385.82,305518
109,303662.65,305190
110,303596.47,305069
111,303583.55,305282
112,303972.25,305571
113,304518.33,305866
114,304403.1,305866
115,304645.62,305976
116,304515.05,306306
117,304689.81,305893
118,304550.09,305849
119,304579.51,305746
120,304719.5,305951
121,304577.68,305921
122,304553.14,305631
123,304597.18,306040
124,304627.03,306058
125,304626.4,305970
126,304670.26,306040
127,304578.56,306131
128,304579.42,305759
129,304569.72,305899
130,304624.45,306230
131,304632.22,306100
132,304604.01,305923
133,304595.28,305958
134,304564.11,305758
135,304653.56,305934
136,304618.4,305874
137,304569.52,305969
138,304675.2,305933
139,304606.54,305837
140,304589.67,305847
141,304726.92,306048
142,304680.83,306123
143,304807.59,306220
144,304671.68,306100
145,304588.19,305941
146,304620.4,306061
147,304685.44,306103
148,304544.08,305598
149,304636.29,305825
150,304692.54,305872
151,304539.69,305741
152,304577.11,306071
153,304599.57,305909
154,304671.72,305791
155,304613.92,305916
156,304640.02,306040
157,304629.66,306037
158,304642.95,305860
159,304734.35,306083
160,304805.52,305993
161,304652.45,305912
162,304613.27,305830
163,304641.92,305938
164,304642.36,306173
165,304655.27,306196
166,304653.9,306026
167,304559.94,305779
168,304729.95,306015
169,304657.24,305794
170,304614.4,305737
171,304632.5,306024
172,304605.31,306037
173,304555.06,306076
174,304676.37,306068
175,304586.56,306222
176,304589.82,305776
177,304725.72,305857
178,304673.32,306094
179,304620.12,306099
180,304670.27,305870
181,304628.35,305787
182,304605.19,305995
183,304633.64,305868
184,304641.48,305664
185,304710.47,305615
186,304612.99,306051
187,304592.47,306010
188,304691.47,306064
189,304677.62,306014
190,304639.61,306162
191,304614.78,306197
192,304586.1,306190
193,304641.7,306152
194,304532.65,306287
195,304585.11,305826
196,304690.88,306045
197,304668.02,305704
198,304540.6,305789
199,304560.75,306014
200,304680.65,306177
201,304557.37,305585
202,304557.23,306053
203,304493.61,305989
204,304525.03,305874
205,304592.54,306091
206,304766.14,306049
207,304656.25,305880
208,304640.87,305960
209,304623.9,305973
210,304619.12,305951
211,304530.29,305771
212,304592.05,305609
213,304521.13,305764
214,304532.7,305927
215,304607.87,305773
216,304644.26,305739
217,304672.2,305863
218,304780.36,306051
219,304703.74,305862
220,304645.47,305673
221,304606.12,305665
222,304688.91,306096
223,304644.81,305862
224,304629.11,305827
225,304606.39,305690
226,304663.59,306348
227,304624.05,305949
228,304597.24,305932
229,304748.35,305882
230,304570.15,305964
231,304566.61,305874
232,304537.1,306205
233,304646.0,305915
234,304683.02,305914
235,304583.13,306054
236,304601.9,305760
237,304698.07,305965
238,304707.04,306001
239,304614.68,305922
240,304580.24,305801
241,304633.85,305962
242,304545.95,306003
243,304652.62,306132
244,304552.94,306079
245,304602.43,305854
246,304626.81,305936
247,304710.64,305819
248,304627.99,306105
249,304685.33,305865
250,304618.86,306090
251,304617.31,305853
252,304665.88,305887
253,304564.77,305915
254,304586.96,305965
255,304549.88,306150
256,304576.26,306071
257,304676.22,306047
258,304698.17,306122
259,304602.52,306004
260,304693.18,306032
261,304640.52,305732
262,304639.48,306051
263,304601.23,305689
264,304640.51,306076
265,304661.68,305780
266,304581.56,305842
267,304549.73,305696
268,304614.82,305812
269,304590.35,306176
270,304762.58,305953
271,304669.28,305846
272,304585.37,305908
273,304651.92,305727
274,304612.5,305839
275,304686.88,306018
276,304554.1,306122
277,304716.02,306272
278,304570.91,305870
279,304617.53,305925
280,304544.6,305847
281,304730.01,306260
282,304582.82,306032
283,304766.39,306138
284,304604.64,305987
285,304615.19,305693
286,304688.59,306023
287,304561.36,306001
288,304604.32,305981
289,304712.47,305936
290,304672.72,305991
291,304709.08,305839
292,304505.04,305786
293,304580.82,305907
294,304689.76,306046
295,304614.07,305988
296,304582.43,306202
297,304691.05,306016
298,304519.44,305917
299,304572.19,305741
300,304670.3,305887
301,304669.44,305841
302,304638.8,305885
303,304611.66,305620
304,304605.23,305845
305,304705.82,306240
306,304624.28,305812
307,304753.49,305742
308,304613.45,305898
309,304676.27,305858
310,304642.11,305858
311,304606.09,305982
312,304580.05,305747
313,304662.65,305780
314,304640.13,305934
315,304634.7,305918
316,304715.52,306060
317,304633.1,306260
318,304621.37,305965
319,304470.8,306068
320,304671.45,306219
321,304700.6,306049
322,304685.04,306059
323,304618.98,306007
324,304641.09,305911
325,304640.0,305930
326,304652.79,305985
327,304573.95,305835
328,304604.75,305687
329,304633.42,305844
330,304556.76,305845
331,304618.58,305876
332,304609.95,306025
333,304581.11,306127
334,304634.48,306073
335,304618.02,305921
336,304680.55,305757
337,304551.13,306112
338,304488.17,305643
339,304526.69,306009
340,304607.59,306042
341,304618.81,306063
342,304637.85,305848
343,304679.78,306090
344,304612.39,305833
345,304674.2,306119
346,304752.5,305843
347,304588.84,305958
348,304510.45,306348
349,304661.38,305949
350,304735.54,306040
351,304655.02,305735
352,304633.97,306192
353,304652.95,306014
354,304621.6,305986
355,304690.12,305818
356,304616.87,305875
357,304645.97,305891
358,304697.63,305799
359,304669.05,305981
360,304609.45,306034
361,304710.75,305922
362,304613.42,306055
363,304566.99,305735
364,304588.78,305912
365,304650.17,305714
366,304609.94,305853
367,304598.63,305934
368,304695.43,306046
369,304600.66,306071
370,304696.11,306026
371,304751.83,305957
372,304557.86,305644
373,304581.78,306104
374,304703.11,306041
375,304644.89,306044
376,304802.88,305913
377,304685.74,306003
378,304643.96,305803
379,304618.25,305936
380,304748.13,306072
381,304571.46,306044
382,304556.46,305759
383,304591.67,305621
384,304578.65,306075
385,304605.7,305831
386,304631.89,306236
387,304658.41,305966
388,304666.65,306126
389,304625.1,305985
390,304528.23,305847
391,304676.36,306149
392,304572.01,305728
393,304594.19,305943
394,304586.61,305723
395,304646.46,306016
396,304666.11,305798
