genNum,genMean,genBest
0,190389.3,202160
1,243085.05,251815
2,262237.9,269255
3,275771.54,282095
4,286198.76,291277
5,293017.01,298219
6,297311.74,302083
7,300204.52,302669
8,302136.11,304534
9,303106.61,304985
10,303839.64,305617
11,303684.63,305462
12,303637.73,305419
13,303652.82,305091
14,303678.7,305288
15,303791.14,305258
16,303715.06,305753
17,303650.09,305107
18,303905.1,305219
19,303612.71,305555
20,303727.29,305490
21,303800.06,305303
22,303690.44,305094
23,303755.1,305737
24,303777.23,305685
25,303731.22,305729
26,303677.82,305549
27,303617.05,305689
28,303778.45,305470
29,303860.23,305380
30,303726.25,305473
31,303749.05,305436
32,303752.34,305849
33,303671.78,305456
34,303781.0,305998
35,303718.16,305035
36,303706.03,305595
37,303733.7,305334
38,303813.63,305221
39,303812.82,305513
40,303778.61,305305
41,303700.86,305734
42,303599.91,305033
43,303653.29,305205
44,303722.32,305589
45,303705.91,305233
46,303915.32,305264
47,303709.15,305213
48,303829.63,305245
49,303730.23,305272
50,303774.09,305387
51,303644.21,305575
52,304438.05,305836
53,304619.51,305982
54,304639.64,305720
55,304599.58,305935
56,304547.67,305806
57,304590.04,306010
58,304558.77,305625
59,304749.83,305861
60,304652.64,306040
61,304594.72,306095
62,304678.97,306084
63,304590.47,306032
64,304650.76,306192
65,304534.26,306011
66,304547.91,306348
67,304590.59,306071
68,304660.42,305772
69,304677.24,305740
70,304603.95,306023
71,304630.5,305688
72,304731.34,305919
73,304617.31,306006
74,304721.85,305999
75,304589.07,306088
76,304742.64,305925
77,304594.91,306015
78,304771.74,306018
79,304627.16,305966
80,304585.99,305807
81,304576.92,306265
82,304565.15,305686
83,304597.98,305905
84,304638.47,305926
85,304597.94,305792
86,304711.07,305912
87,304700.4,306006
88,304686.56,306166
89,304557.24,305915
90,304577.54,306189
91,304574.8,306033
92,304605.43,305610
93,304615.74,306161
94,304592.75,305900
95,304661.67,306033
96,304645.68,305942
97,304579.52,305906
98,304659.34,306140
99,304628.24,305961
