genNum,genMean,genBest
0,0.0,0
1,184549.02,202979
2,221670.32,232306
3,248789.11,257446
4,267636.8,275357
5,280584.43,286650
6,289820.74,294438
7,295881.28,299900
8,299281.03,302285
9,301430.11,303824
10,302703.3,304806
11,302817.36,305389
12,302845.35,304966
13,302912.84,304690
14,302707.93,304779
15,302714.92,304311
16,302811.45,304800
17,302814.48,304829
18,302818.34,304956
19,302611.92,304484
20,302628.86,304904
21,302767.18,304350
22,302805.15,304864
23,302772.28,304604
24,302715.67,305092
25,302718.96,305247
26,302720.48,304474
27,302734.07,304593
28,302670.43,304906
29,303971.79,305482
30,304411.95,305741
31,304204.26,305463
32,304463.18,305776
33,304534.01,305698
34,304395.79,305854
35,304386.91,305524
36,304496.01,305594
37,304401.87,305808
38,304451.87,306187
39,304310.12,305833
40,304350.64,305474
41,304411.11,305956
42,304275.11,305512
43,304411.24,305904
44,304389.5,305796
45,304373.51,305993
46,304417.47,305718
47,304348.83,306195
48,304347.38,305748
49,304275.77,306074
50,304523.29,305948
51,304314.93,305753
52,304389.22,305985
53,304382.93,305679
54,304382.94,305797
55,304330.01,305671
56,304257.57,305597
57,304406.97,305882
58,304397.29,305849
59,304301.82,305871
60,304425.21,305888
61,304294.31,305794
62,304377.9,305939
63,304220.6,305634
64,304353.56,305832
65,304418.33,306348
66,304570.4,305956
67,304460.93,305995
68,304603.87,305887
69,304624.44,305989
70,304649.03,306094
71,304651.77,306081
72,304493.81,305964
73,304493.69,305838
74,304677.34,306183
75,304578.03,305814
76,304544.78,305871
77,304628.37,305697
78,304589.84,305867
79,304601.99,305766
80,304478.18,305796
81,304666.42,305902
82,304565.54,305950
83,304623.86,306088
84,304576.27,305894
85,304596.39,305939
86,304653.33,305694
87,304538.17,306107
88,304573.48,305802
89,304721.98,306095
90,304478.23,306202
91,304710.94,306038
92,304628.58,305639
93,304707.94,306008
94,304544.96,305859
95,304601.95,306226
96,304720.24,306009
97,304673.87,306090
98,304544.76,305643
99,304725.93,306348
100,304629.88,305834
101,304640.89,306103
