genNum,genMean,genBest
0,190534.09,201437
1,242938.71,251111
2,262460.85,270158
3,276642.55,283250
4,286504.97,292429
5,293070.68,298211
6,297434.91,300574
7,300023.89,303398
8,302067.95,304524
9,303073.25,305052
10,303781.06,305549
11,303812.18,305463
12,303647.78,305561
13,303677.46,305747
14,303553.16,305530
15,303596.34,305127
16,303874.89,305352
17,303866.83,305386
18,303614.58,305261
19,303824.09,305285
20,303647.04,305219
21,303669.44,305494
22,303681.83,305791
23,303819.07,305605
24,303706.16,305339
25,303926.83,305366
26,303775.56,305381
27,303859.84,305702
28,303734.35,305709
29,303590.82,305748
30,303788.65,305339
31,303730.38,305265
32,303708.41,305725
33,303714.19,305396
34,303686.0,305771
35,303689.65,305405
36,303793.92,305158
37,303699.3,305263
38,303800.99,305622
39,303624.73,306138
40,304361.16,305716
41,304366.98,305965
42,304336.21,305927
43,304208.67,305603
44,304338.0,305778
45,304397.95,305914
46,304392.08,305682
47,304259.76,306053
48,304442.18,306099
49,304294.43,305954
50,304306.95,305841
51,304263.95,305578
52,304429.76,305630
53,304304.48,305668
54,304230.68,305727
55,304258.31,305628
56,304255.19,305695
57,304507.84,305873
58,304582.42,305858
59,304593.82,306070
60,304732.74,305975
61,304616.73,305732
62,304537.38,305674
63,304578.24,305922
64,304626.39,306188
65,304600.87,306027
66,304570.21,305904
67,304593.2,305965
68,304651.95,305765
69,304551.28,305808
70,304543.89,305932
71,304634.7,305826
72,304673.55,306026
73,304677.34,305814
74,304673.14,305913
75,304635.26,306086
76,304594.89,305788
77,304596.66,305925
78,304530.23,305922
79,304549.66,306008
80,304612.15,305935
81,304679.23,305761
82,304565.98,305913
83,304516.76,305795
84,304704.44,305626
85,304550.72,306192
86,304687.52,305985
87,304689.25,305987
88,304658.11,305911
89,304646.81,305711
90,304659.51,306081
91,304532.56,305698
92,304671.89,305825
93,304651.52,305831
94,304553.81,305803
95,304637.82,306013
96,304634.61,305913
97,304721.3,305933
98,304638.82,305821
99,304621.83,306012
