genNum,genMean,genBest
0,190333.5,202679
1,242073.55,253126
2,262447.83,269611
3,275963.61,283459
4,286278.75,291430
5,293174.58,296975
6,297412.81,300622
7,300122.63,302506
8,302087.75,304157
9,303136.34,305287
10,303630.3,305110
11,303744.56,305513
12,303728.66,305693
13,303739.77,305219
14,303654.19,305194
15,303779.49,305422
16,303787.29,305622
17,303808.35,305653
18,303713.01,306027
19,303743.94,305321
20,303702.82,305372
21,303790.74,305311
22,303585.07,305778
23,303828.7,305623
24,303646.85,305005
25,303812.96,305309
26,303809.21,305454
27,303696.66,305521
28,303728.49,305431
29,303674.39,305441
30,303727.01,305432
31,303696.7,305388
32,303737.27,305327
33,303778.86,305290
34,303773.08,304923
35,303681.17,305036
36,304377.9,305596
37,304614.17,306166
38,304511.88,305907
39,304664.78,305894
40,304524.1,306078
41,304557.79,305558
42,304588.47,305957
43,304655.24,306048
44,304557.55,306050
45,304597.33,305808
46,304620.62,306086
47,304569.96,306012
48,304580.26,305953
49,304626.44,305940
50,304598.73,306080
51,304623.11,306086
52,304583.08,305689
53,304543.14,305691
54,304471.41,305855
55,304540.25,305939
56,304612.9,305748
57,304828.35,305790
58,304636.3,305858
59,304714.02,305777
60,304565.73,306003
61,304657.33,305907
62,304707.51,306309
63,304622.16,305930
64,304655.19,305640
65,304716.18,306313
66,304683.76,306008
67,304696.94,305869
68,304714.44,306229
69,304580.32,305749
70,304713.99,305896
71,304703.49,306063
72,304576.66,305812
73,304637.96,305886
74,304543.77,305776
75,304538.47,305812
76,304620.89,305902
77,304565.46,306080
78,304604.05,305888
79,304666.81,305991
80,304613.68,305714
81,304727.91,306083
82,304651.91,306027
83,304560.54,306137
84,304532.32,305775
85,304590.92,305852
86,304598.0,305861
87,304533.14,305954
88,304660.52,306119
89,304582.83,306004
90,304508.42,305920
91,304537.93,306034
92,304568.65,306034
93,304607.37,306032
94,304636.83,305797
95,304688.87,305853
96,304560.78,305824
97,304580.82,306087
98,304671.59,306305
99,304582.2,305988
100,304596.61,305783
101,304589.64,305839
102,304618.89,305759
103,304592.32,305697
104,304594.55,305762
105,304667.08,305860
106,304785.0,305937
107,304676.48,305905
108,304700.2,305945
109,304670.01,306014
110,304701.88,305937
111,304657.92,305963
112,304672.57,306035
113,304653.36,305949
114,304598.45,305906
115,304701.21,306077
116,304535.02,305856
117,304612.79,305899
118,304663.84,305759
119,304578.9,306006
120,304630.98,306278
121,304605.92,306006
122,304726.04,306138
123,304618.31,306348
124,304622.75,306101
125,304709.7,306011
126,304699.06,305990
127,304653.52,305807
128,304690.0,305741
129,304584.12,306182
130,304702.62,306030
131,304711.41,305796
132,304694.48,306004
133,304662.37,305707
134,304621.56,305753
135,304707.51,305812
136,304647.32,305754
137,304584.46,306247
138,304509.91,306025
139,304633.82,305844
140,304582.73,305915
141,304625.17,305902
142,304557.93,306016
143,304681.68,305913
144,304679.24,305950
145,304649.01,305822
146,304693.6,306041
147,304713.66,305921
148,304663.94,306099
149,304733.72,306009
150,304611.89,305962
151,304617.42,305915
152,304591.41,306183
153,304520.29,305909
154,304628.08,305969
155,304525.52,306020
156,304551.92,305830
157,304699.54,305936
158,304659.32,306096
159,304705.45,305788
160,304604.71,305836
161,304642.44,305834
162,304589.68,305832
163,304590.06,305999
164,304592.57,306038
165,304626.84,305816
166,304703.4,305941
167,304609.56,305958
168,304701.25,306065
169,304622.93,306019
170,304660.08,305934
171,304652.06,306010
172,304674.07,305991
173,304633.97,306047
174,304581.09,305923
175,304788.17,305987
176,304701.26,305737
177,304511.79,305969
178,304676.27,305996
179,304703.15,305899
180,304648.14,305724
181,304510.08,305701
182,304574.85,305883
183,304533.3,305871
184,304557.22,305756
185,304412.19,305778
186,304693.39,306277
187,304555.66,306054
188,304593.67,306102
189,304710.52,305867
190,304606.21,306097
191,304590.55,305851
192,304658.36,305853
193,304606.94,306056
194,304523.08,306087
195,304711.16,305995
196,304646.24,306169
197,304653.85,305877
198,304593.81,305871
199,304612.8,305852
200,304662.75,305952
201,304546.56,305916
202,304578.3,306181
203,304661.48,306162
204,304583.91,306117
205,304576.74,305904
206,304611.04,305990
207,304603.28,306022
208,304599.39,306268
209,304527.55,305871
210,304665.19,306017
