genNum,genMean,genBest
0,186659.53,198446
1,224327.27,235500
2,223809.33,235168
3,224152.82,235363
4,223586.2,234376
5,223759.52,235683
6,224131.38,234461
7,222812.55,231900
8,223213.33,231732
9,224129.0,236331
10,223716.26,233896
11,223903.31,233875
12,223914.26,236953
13,224263.55,232606
14,224476.41,232568
15,224328.41,237406
16,223645.43,232282
17,223990.66,233983
18,223533.07,237806
19,224235.86,234997
20,224643.65,231655
21,223112.82,231753
22,223689.55,234521
23,223375.88,233931
24,225354.23,237381
25,224397.85,234630
26,224518.76,235711
27,223426.17,235442
28,223729.6,233786
29,223889.96,237573
30,224111.7,234218
31,224184.43,232306
32,223433.25,231933
33,224523.19,235415
34,223702.38,238640
35,224358.59,234478
36,223930.14,234139
37,223995.13,234373
38,223948.44,233360
39,223345.41,235449
40,224102.0,234472
41,223906.43,234449
42,223024.03,235523
43,223939.52,234187
44,224212.9,233446
45,223750.11,235166
46,223819.76,234978
47,223273.05,231917
48,223811.11,238506
49,224211.69,233890
50,223966.93,235388
51,223954.28,234093
52,223751.47,234552
53,223605.34,234139
54,224107.66,233159
55,223655.65,234456
56,223236.53,234470
57,223074.09,236760
58,223943.95,232672
59,224254.6,236902
60,223519.1,233194
61,223836.46,234356
62,223685.89,234859
63,224311.32,236433
64,223795.06,234385
65,223748.57,236603
66,223452.64,232311
67,224014.3,234454
68,224028.88,234773
69,224181.71,232850
70,224311.05,235624
71,224181.24,233413
72,224198.08,235502
73,222845.44,236557
74,223877.65,232220
75,223932.26,238053
76,223499.22,237079
77,222734.7,233741
78,224035.94,235425
79,223826.71,234636
80,223658.42,235020
81,223998.9,232596
82,223815.31,236792
83,224406.52,238098
84,223949.24,233926
85,224789.36,236625
86,224392.97,234321
87,223265.36,231008
88,222935.22,232645
89,224206.1,234078
90,223857.97,236289
91,224074.68,237905
92,224122.71,234046
93,224227.64,236878
94,224574.59,232876
95,223725.48,235541
96,223833.49,233898
97,224688.51,236804
98,223209.73,234819
99,223894.38,235616
100,224163.04,232690
101,224051.83,231951
102,223661.71,233955
103,223966.08,233484
104,223505.16,236244
105,224121.43,234381
106,224078.35,234043
107,224305.48,236578
108,223784.51,237707
109,223268.21,231558
110,223592.35,232919
111,223921.39,236297
112,224393.4,233812
113,223548.45,233594
114,224294.39,236754
115,224225.68,233147
116,223924.92,234294
117,223384.77,235380
118,223799.88,235621
119,224590.85,234238
120,223114.78,238494
121,223994.6,234785
122,223367.76,231044
123,224540.21,233303
124,223014.88,234241
125,223819.89,235109
126,223735.73,235519
127,224069.97,233763
128,223899.23,234927
129,223873.35,234771
130,224266.69,234830
131,223678.1,236372
132,224127.22,233706
133,223704.2,234314
134,223952.59,232928
135,224223.93,234192
136,223118.28,233939
137,223579.27,233982
138,223607.3,231024
139,224342.1,235905
140,223901.06,233715
141,223958.04,232781
142,224015.42,233762
143,223732.2,233774
144,223071.62,234508
145,224432.76,236005
146,223723.68,235211
147,224316.14,232878
148,223313.12,233446
149,223668.66,236983
150,224266.94,232593
151,223977.58,239111
152,223902.74,234929
153,223796.02,233096
154,224194.94,236099
155,223473.9,234121
156,223767.13,233681
157,224018.07,234171
158,224429.74,236594
159,223842.12,233082
160,224045.14,234735
161,224162.35,236921
162,223773.04,233161
163,224400.98,237967
164,223659.49,233657
165,224477.8,234384
166,223950.19,231072
167,224930.06,236035
168,224014.74,237384
169,224162.09,236962
170,223370.45,234167
171,222993.65,233734
172,223288.37,235110
173,224081.58,237314
174,223689.17,237011
175,223242.0,234873
176,224251.39,234892
177,223170.73,233742
178,223911.6,232825
179,223944.81,233991
180,224852.57,236402
181,223959.36,234464
182,224207.08,235718
183,223718.05,236153
184,224004.81,235368
185,224054.46,233611
186,222969.49,231936
187,224387.5,234437
188,224658.47,234059
189,224668.15,234025
190,223286.13,233337
191,224139.05,236342
192,223516.55,232946
193,224107.11,237233
194,224295.47,237050
195,224223.9,236602
196,223091.77,233649
197,223958.16,236992
198,223755.22,233539
199,223656.04,235501
200,224521.12,238329
201,223365.84,232895
202,223902.17,232190
203,223671.17,233283
204,224060.23,233812
205,223836.57,232651
206,224330.83,233247
207,224232.97,233040
208,223312.11,240702
209,223883.83,234859
210,224538.55,233966
211,223580.5,236500
212,223746.4,237855
213,223955.56,233273
214,224244.24,234164
215,224214.09,234264
216,223763.45,235483
217,223950.61,236167
218,223806.17,232220
219,224148.66,233068
220,223245.28,231202
221,223139.5,234994
222,223284.6,234337
223,223955.41,236609
224,223891.62,232790
225,223560.53,234166
226,223685.37,236913
227,223549.79,236656
228,224459.85,236319
229,223258.73,234069
230,222838.55,231924
231,223948.9,234444
232,223612.86,233401
233,224179.21,234096
234,223937.22,233189
235,223526.43,232327
236,223193.07,233728
237,223796.42,234995
238,224207.54,238878
239,223828.32,234887
240,223798.23,235614
241,223274.33,233921
242,223721.59,233619
243,224192.7,232220
244,224584.79,236749
245,224382.78,236167
246,223341.67,236869
247,223498.59,233253
248,223959.72,237450
249,224696.51,235996
250,225037.16,235600
251,223983.66,236421
252,224118.7,234918
253,224046.52,235279
254,223478.49,235899
255,224062.55,235305
256,224162.19,237659
257,223488.76,233298
258,223755.79,237412
259,223757.32,235364
260,224369.22,235265
261,224158.76,233613
262,223947.71,236480
263,222713.16,234118
264,223860.06,233732
265,223741.73,234955
266,224036.05,239713
267,224139.76,235699
268,223161.54,234597
269,223965.64,232789
270,223506.63,233565
271,224464.51,233220
272,223896.6,234493
273,224086.25,232854
274,223839.68,232773
275,224141.52,235643
276,224081.75,234194
277,224570.83,237046
278,224106.66,235935
279,224074.86,238036
280,223655.0,234937
281,224195.38,234823
282,224830.77,234759
283,224460.92,235821
284,224715.77,237461
285,223510.43,233615
286,224230.41,234803
287,224011.57,233108
288,224442.87,233516
289,223759.73,231333
290,224026.33,235538
291,223638.12,234466
292,223274.57,233266
293,223905.35,232821
294,224002.27,238341
295,223972.77,233757
296,223595.37,234009
297,223480.92,231726
298,224407.14,236472
299,224369.83,238631
300,222976.47,235174
301,224278.59,233760
302,223760.72,237444
303,223779.7,236319
304,224135.11,235078
305,224240.62,233709
306,224220.08,235459
307,223827.82,233580
308,224352.61,234078
309,224073.69,234097
310,223599.43,235547
311,224049.32,234057
312,224403.43,235223
313,223602.52,233705
314,223336.7,233780
315,223651.65,233781
316,224239.67,234949
317,223723.0,232557
318,223990.69,236253
319,224001.62,234248
320,224035.45,232323
321,223525.37,234581
322,223488.71,234043
323,223845.89,234457
324,224308.68,232930
325,223117.74,233551
326,223593.32,232275
327,224961.71,233464
328,223468.25,233975
329,223677.83,232943
330,223853.77,238849
331,224420.2,234196
332,224456.36,235090
333,224194.57,233822
334,223191.64,232377
335,223316.04,234239
336,224353.18,237307
337,223882.34,233053
338,224207.94,240855
339,223177.09,236331
340,224461.7,234055
341,224025.58,233895
342,223957.58,235541
343,223835.46,232648
344,224414.45,238822
345,223469.8,232970
346,223756.98,232756
347,222918.11,231439
348,223293.65,232805
349,224047.52,235174
350,224069.39,243324
351,223166.31,235354
352,224244.15,236512
353,223913.4,231188
354,224279.92,234393
355,224578.36,233092
356,223406.07,235038
357,224046.61,233303
358,223940.54,232335
359,224424.76,235633
360,224639.4,234318
361,223611.94,237624
362,224199.29,237406
363,223624.04,236142
364,223993.99,233301
365,224674.46,235759
366,223736.06,233865
367,223890.38,234919
368,223735.05,237648
369,223622.33,232912
370,224571.42,234357
371,223642.31,234712
372,223915.5,238110
373,223152.77,231984
374,223357.73,234675
375,223916.16,234227
376,224232.96,235416
377,224498.34,235662
378,224712.98,232552
379,224506.62,234220
380,223618.8,232887
381,224022.21,236969
382,224485.81,235791
383,224348.15,235220
384,223905.66,234961
385,223346.69,236391
386,223308.88,232798
387,224136.68,236472
388,224216.66,233692
389,224014.52,231338
390,224665.08,232469
391,224547.93,234840
392,224057.72,236290
393,223337.2,233117
394,223875.23,233234
395,223363.4,233357
396,222846.28,232538
397,224227.16,237193
398,223954.35,236847
399,224449.9,233574
400,223920.28,234145
401,223682.24,233177
402,224463.78,233875
403,224230.36,233212
404,223721.13,233453
405,223979.15,234509
406,224276.14,235965
407,223460.7,234642
408,224943.09,235491
409,223831.88,234447
410,223610.2,237297
411,224403.66,234750
412,224632.45,236748
413,223581.46,233367
414,224084.51,234494
415,223956.5,235870
416,224414.16,233665
417,223611.05,231511
418,224953.32,235335
419,224069.49,232949
420,224085.02,232927
421,223936.4,230732
422,224278.82,235059
423,223740.31,233840
424,223691.0,235331
425,224154.24,234732
426,223044.59,231476
427,224362.22,236171
428,224068.54,235313
429,223811.57,233137
430,224048.4,237973
431,224260.14,237224
432,223875.84,234839
433,224275.99,234365
434,223615.09,235715
435,224689.91,235260
436,223747.84,232329
437,224633.73,235868
438,223574.52,230850
439,224262.9,231875
440,223763.29,236817
441,224115.84,236306
442,224121.12,231862
443,224163.88,234966
444,224363.99,237928
445,223583.45,234097
446,223695.85,234637
447,224115.82,232276
448,223964.7,233886
449,224618.18,237148
450,223790.67,237214
451,223761.72,235620
452,224297.56,236256
453,223903.0,234477
454,223539.81,235986
455,224128.9,235457
456,224117.28,233084
457,223254.03,235300
458,223128.47,234726
459,223966.66,233864
460,223750.56,233836
461,224250.15,233781
462,224346.02,235274
463,224451.95,233884
464,222954.08,236520
465,223622.26,234754
466,224523.67,239733
467,223195.85,231718
468,224055.23,234458
469,223802.89,235551
470,223079.18,233738
471,224407.11,234344
472,223614.2,233478
473,224417.32,232523
474,224160.97,238417
475,224477.3,234580
476,224243.24,237419
477,224727.54,235529
478,223309.29,233072
479,224454.63,235861
480,223511.23,232446
481,224169.98,232714
482,224230.32,236355
483,223939.03,232720
484,224797.53,234672
485,223961.28,234237
486,223659.39,233368
487,224191.56,235268
488,223453.37,232337
489,223764.95,236127
490,224659.29,235154
491,224115.58,233971
492,224418.89,233019
493,223491.49,232975
494,223543.17,235447
495,223525.41,232828
496,224059.27,233956
497,224461.41,234714
498,223918.5,237190
499,223593.29,232671
500,223683.26,233011
501,223756.18,234500
502,223538.42,234621
503,223669.37,232262
504,224874.35,236571
505,224203.15,238475
506,224432.39,234534
507,223308.51,235723
508,223928.69,236173
509,223802.35,234741
510,223723.82,233928
511,224247.36,235763
512,223802.25,233384
513,223658.62,235119
514,224413.55,234710
515,223562.9,233561
516,223972.75,236275
517,224273.19,235958
518,224511.74,234158
519,224192.1,233969
520,223876.15,236268
521,223909.02,235134
522,223440.29,234950
523,223678.37,234780
524,223562.45,235457
525,224354.08,234293
526,223809.31,238083
527,223412.59,232079
528,224020.87,234592
529,223345.66,232843
530,224254.4,233898
531,223652.3,235904
532,223671.81,237008
533,223553.41,233406
534,224368.96,235131
535,223787.83,238010
536,224040.77,234167
537,224096.32,236207
538,224166.72,234490
539,223775.15,233320
540,224630.9,237593
541,223966.53,235503
