genNum,genMean,genBest
0,185655.21,203342
1,222160.78,232748
2,239590.73,252213
3,253499.05,263284
4,265141.42,274968
5,274167.98,281898
6,281683.46,288549
7,288354.93,292817
8,292383.72,296278
9,296069.79,300076
10,298608.78,302466
11,298707.31,301895
12,298525.11,301701
13,298615.66,301644
14,298625.83,301615
15,298595.85,301665
16,298682.1,302364
17,298739.19,302289
18,298568.6,303519
19,298834.77,301686
20,298687.05,301406
21,298573.3,301461
22,298297.17,301865
23,298409.68,302308
24,298683.05,301055
25,298617.79,301250
26,298852.95,301506
27,298600.08,301674
28,298715.98,301842
29,298537.07,301871
30,298635.41,301577
31,298568.78,301627
32,298509.76,301183
33,298593.2,301246
34,298404.29,301457
35,298829.78,302447
36,301789.4,304016
37,303562.31,305366
38,303560.68,305143
39,303492.95,305191
40,303573.72,305072
41,303470.48,305337
42,303366.08,305301
43,303463.11,305133
44,303425.71,305114
45,303415.52,305090
46,303419.66,305119
47,303380.27,305299
48,303517.33,305498
49,303472.22,305189
50,303413.23,305041
51,303406.32,304782
52,303285.09,305281
53,303382.63,305309
54,303447.25,305017
55,303558.84,305397
56,303383.97,305215
57,303468.93,305077
58,303640.31,305111
59,303541.31,305359
60,303589.85,305328
61,303527.54,305236
62,303359.11,305186
63,303634.62,305302
64,303421.26,305032
65,303477.33,305063
66,304253.3,305486
67,304382.55,306067
68,304540.42,306096
69,304438.73,305934
70,304543.29,305968
71,304521.09,305853
72,304498.56,306348
73,304598.54,306017
74,304470.59,305760
75,304621.73,305909
76,304560.53,305914
77,304586.21,305772
78,304695.43,305986
79,304435.75,305675
80,304571.24,305967
81,304557.16,305526
82,304510.1,305822
83,304524.0,305614
84,304569.29,306030
85,304570.88,305945
86,304617.77,306205
87,304539.98,305986
88,304484.81,305948
89,304540.15,305814
90,304700.78,305842
91,304570.56,305990
92,304561.91,305974
93,304581.76,305990
94,304594.88,305936
95,304675.11,306049
96,304682.4,306270
97,304696.87,305830
98,304576.63,305729
99,304625.49,305990
