genNum,genMean,genBest
0,185860.75,200116
1,242121.72,251361
2,260901.04,267902
3,275476.74,282791
4,285976.22,291173
5,292578.74,297221
6,297044.47,300753
7,300114.66,303905
8,301954.46,304427
9,302941.61,304957
10,303593.91,305690
11,303619.98,305465
12,303765.11,305327
13,303687.77,305306
14,303748.6,305462
15,303790.7,305372
16,303684.56,305429
17,303547.37,305054
18,303563.87,305091
19,303660.34,305437
20,303788.56,305452
21,303659.25,305299
22,303789.23,305337
23,303713.23,305621
24,303607.48,305238
25,303735.91,305293
26,303675.04,305425
27,303558.13,305123
28,304280.17,305630
29,304488.89,305800
30,304585.33,305880
31,304553.94,306005
32,304567.54,305582
33,304550.91,305763
34,304597.12,306147
35,304566.86,306034
36,304551.9,305706
37,304560.61,305836
38,304631.5,305944
39,304508.18,305713
40,304698.27,305816
41,304572.25,305863
42,304628.59,305813
43,304543.23,305726
44,304591.68,305764
45,304623.07,305839
46,304455.9,305805
47,304682.42,305923
48,304541.92,305795
49,304597.74,305795
50,304449.84,305799
51,304592.76,306010
52,304491.89,305965
53,304578.37,306197
54,304601.31,305797
55,304584.13,305874
56,304578.11,305959
57,304603.46,306031
58,304644.45,305883
59,304648.16,306274
60,304679.78,305822
61,304576.84,305980
62,304661.76,305850
63,304625.23,305680
64,304576.32,305873
65,304774.66,306014
66,304678.09,305928
67,304541.45,305565
68,304581.71,305867
69,304618.69,305674
70,304592.92,305783
71,304644.15,305866
72,304565.63,305712
73,304528.08,306122
74,304661.52,305759
75,304601.12,305918
76,304720.21,305932
77,304544.21,305787
78,304689.35,305838
79,304683.73,305776
80,304620.86,305812
81,304651.17,305981
82,304576.13,305738
83,304580.93,305919
84,304686.78,305972
85,304626.58,305723
86,304592.61,306147
87,304655.67,305935
88,304513.26,306052
89,304574.12,305954
90,304543.2,305963
91,304633.84,305888
92,304597.96,306280
93,304782.7,305910
94,304684.58,305749
95,304618.98,306128
96,304636.36,305917
97,304489.75,306057
98,304532.96,305971
99,304611.44,305910
