genNum,genMean,genBest
0,188213.34,202730
1,224205.65,236461
2,223569.82,232717
3,224497.88,236485
4,224706.11,238571
5,223992.35,233315
6,224712.89,235257
7,224316.0,238639
8,223906.97,232797
9,224318.05,232406
10,223830.67,238131
11,224281.74,237120
12,224845.46,235065
13,224282.4,235512
14,223801.32,232674
15,224424.32,237254
16,223629.18,234381
17,223726.96,237198
18,224154.64,233182
19,225104.79,236576
20,223878.17,235400
21,224248.09,234705
22,224572.3,234276
23,223286.2,235937
24,224679.12,234593
25,223672.38,236239
26,224442.94,233750
27,224393.0,233749
28,224000.5,240537
29,224050.21,236914
30,225211.36,237120
31,224200.85,235223
32,223982.26,236360
33,224430.73,233999
34,224087.59,234865
35,224655.08,233662
36,224666.7,234257
37,223476.53,235302
38,224273.12,232793
39,224153.94,239822
40,224056.76,234007
41,224321.65,232904
42,224269.37,238862
43,224649.15,235171
44,224444.4,237076
45,223453.65,233825
46,223618.54,234230
47,224110.93,236937
48,224745.29,234021
49,224631.14,233821
50,224491.87,233747
51,224300.02,235952
52,223169.61,233784
53,224425.53,237191
54,225081.61,237525
55,224411.54,237199
56,223797.86,233100
57,224408.14,236631
58,224667.2,240224
59,224353.81,238465
60,224144.54,237199
61,224208.74,233611
62,224427.6,234321
63,224231.56,232462
64,225038.6,236426
65,223893.02,235859
66,224149.58,236717
67,224553.86,236007
68,224703.2,232034
69,224795.36,235210
70,223831.71,234928
71,225037.47,236302
72,224820.68,238464
73,223244.23,232614
74,224492.15,232279
75,223900.35,232698
76,224382.05,239324
77,224009.98,237768
78,224476.34,236948
79,224401.5,234412
80,225179.69,236946
81,223939.32,233760
82,224464.62,232391
83,223368.52,233198
84,224717.78,233518
85,224089.59,234962
86,223739.07,236035
87,224610.07,233112
88,224352.65,237394
89,223530.49,237565
90,223948.88,234022
91,224475.06,234035
92,223837.48,233731
93,223912.97,234192
94,224466.6,233532
95,224640.84,236012
96,224154.16,233494
97,223928.14,234644
98,224476.0,234540
99,223818.67,237316
