genNum,genMean,genBest
0,186546.72,204017
1,70405.17,80305
2,59537.18,70557
3,52717.55,65036
4,48500.9,56889
5,45076.85,55479
6,43302.72,54814
7,41618.53,49843
8,40908.0,49294
9,39858.34,47537
10,38896.54,47927
11,38155.4,46675
12,39041.28,48935
13,39396.44,48467
14,38917.79,48253
15,38899.91,46991
16,39049.88,44505
17,38662.45,46352
18,37537.54,44663
19,37180.68,46650
20,36831.14,47818
21,35824.86,42084
22,35066.43,44139
23,35012.07,43246
24,34524.55,46429
25,33984.37,44689
26,34081.89,41292
27,33210.44,42715
28,33032.26,42288
29,33117.85,42580
30,32139.74,40265
31,31941.04,41008
32,31529.64,40723
33,30685.7,36587
34,30839.25,36467
35,30146.94,36920
36,29548.51,36796
37,29575.26,35158
38,28746.62,35307
39,28511.03,37023
40,27831.04,35350
41,27854.35,37665
42,27202.03,33779
43,26968.26,34772
44,26459.14,33469
45,26234.78,33656
46,26034.59,34845
47,25687.38,32232
48,25692.2,33563
49,25464.72,31769
50,25333.12,32288
51,25244.82,32214
52,25483.12,32674
53,24101.54,32725
54,24396.13,31856
55,24596.79,29817
56,23789.7,31130
57,24524.1,31622
58,24541.83,33274
59,24668.83,32357
60,24610.79,32880
61,24400.61,33046
62,24918.43,33688
63,24539.25,31631
64,24444.63,31107
65,24139.87,33028
66,24300.96,30397
67,23945.37,29081
68,24324.41,30549
69,23917.11,31186
70,24737.16,29951
71,24486.78,30804
72,24517.23,31303
73,24444.14,29751
74,24436.25,31562
75,24736.96,31504
76,24281.77,29408
77,24665.14,31057
78,24008.44,31509
79,24305.31,31512
80,23967.98,30459
81,24613.54,31358
82,24502.89,31025
83,24595.27,30854
84,24208.42,30414
85,24226.24,30879
86,24357.33,31893
87,24096.47,31672
88,24405.11,30305
89,23880.5,31137
90,24354.66,32081
91,23615.64,32851
92,23874.3,30584
93,23976.28,32065
94,23828.16,30438
95,24197.67,32835
96,24340.37,30087
97,23900.55,29771
98,24542.17,29886
99,23994.63,29484
