genNum,genMean,genBest
0,190763.77,200877
1,244513.73,254231
2,265036.91,272238
3,280146.04,285370
4,289809.01,294722
5,295923.69,299410
6,299796.02,302001
7,302088.75,304659
8,303122.44,304733
9,303976.55,305875
10,304319.12,305942
11,304282.05,305888
12,304235.91,306299
13,304297.66,305818
14,304292.96,305700
15,304366.88,305735
16,304357.58,305813
17,304342.61,305713
18,304287.16,305752
19,304312.17,305747
20,304294.59,305742
21,304284.0,306011
22,304166.76,305560
23,304222.41,305904
24,304423.45,305736
25,304300.75,305395
26,304268.16,305551
27,304355.77,306141
28,304266.16,305633
29,304288.34,305755
30,304532.37,305836
31,304550.36,305846
32,304553.46,305630
33,304675.8,305922
34,304601.1,305998
35,304537.94,305741
36,304698.94,305978
37,304537.78,305974
38,304703.14,305804
39,304701.42,305858
40,304701.05,305864
41,304597.33,306079
42,304596.25,306057
43,304701.69,306090
44,304686.95,306066
45,304560.42,305823
46,304706.59,306086
47,304598.02,306282
48,304658.32,306071
49,304509.88,305795
50,304659.95,305960
51,304625.26,305838
52,304560.58,305928
53,304614.33,305975
54,304575.02,305719
55,304737.9,305557
56,304619.81,306047
57,304718.97,305930
58,304675.64,305967
59,304553.57,305792
60,304653.0,305939
61,304544.92,306083
62,304621.51,306048
63,304687.6,305908
64,304604.65,306042
65,304580.86,306017
66,304519.91,305765
67,304644.3,306116
68,304596.33,305662
69,304659.42,305887
70,304638.33,306031
71,304745.46,305930
72,304709.27,306025
73,304566.35,305722
74,304617.22,305795
75,304638.94,305848
76,304657.58,305781
77,304644.11,305941
78,304657.17,306225
79,304679.79,305831
80,304627.01,305781
81,304581.23,306041
82,304617.16,305998
83,304529.26,305970
84,304738.66,305847
85,304466.06,305944
86,304591.29,306123
87,304615.3,306109
88,304639.35,305838
89,304602.78,306191
90,304545.14,305777
91,304570.71,305701
92,304685.85,305951
93,304776.07,306085
94,304729.51,306087
95,304514.52,305670
96,304654.98,306080
97,304772.86,305959
98,304679.14,305966
99,304617.29,305751
100,304546.42,305872
101,304645.95,305963
102,304545.94,305961
103,304697.67,305924
104,304679.75,305866
105,304603.77,306036
106,304603.35,305792
107,304628.48,306121
108,304625.88,305807
109,304619.08,305837
110,304650.71,306028
111,304607.98,305988
112,304640.53,305871
113,304504.8,306047
114,304668.24,306075
115,304479.08,305727
116,304657.37,305652
117,304658.81,305941
118,304573.64,305922
119,304724.6,305833
120,304604.51,305764
121,304701.05,306224
122,304609.97,306133
123,304723.45,305741
124,304728.15,306142
125,304601.09,306140
126,304595.86,305844
127,304612.69,305876
128,304525.53,305992
129,304551.69,305735
130,304637.61,305952
131,304570.01,305625
132,304737.76,306051
133,304530.12,305883
134,304603.58,306001
135,304607.91,305668
136,304765.77,305943
137,304657.01,305980
138,304543.5,306012
139,304682.42,305932
140,304556.04,306173
141,304602.26,305799
142,304564.54,305963
143,304586.76,306165
144,304615.35,306207
145,304564.03,305785
146,304592.51,305869
147,304559.26,305833
148,304617.35,305837
149,304680.56,305980
150,304649.47,305697
151,304574.89,306078
152,304659.31,305868
153,304613.31,306078
154,304618.97,306150
155,304556.44,305913
156,304568.3,305951
157,304729.06,305994
158,304734.67,306037
159,304685.74,305919
160,304668.44,305910
161,304526.17,306060
162,304559.32,305865
163,304687.63,305754
164,304637.54,305687
165,304662.45,305865
166,304644.21,305790
167,304720.06,306072
168,304627.87,306082
169,304623.72,305820
170,304672.69,306046
171,304639.24,305721
172,304661.41,305989
173,304680.77,305950
174,304650.84,306029
175,304581.64,305894
176,304628.21,305907
177,304442.59,305776
178,304652.49,305884
179,304697.65,306019
180,304579.13,306107
181,304676.09,305874
182,304646.65,305802
183,304657.8,305794
184,304624.75,305807
185,304670.49,305960
186,304649.07,306348
187,304633.23,305626
188,304561.34,305596
189,304595.28,305920
190,304601.99,305979
191,304748.43,306255
192,304821.91,305927
193,304577.47,305843
194,304583.52,306261
195,304677.03,306159
196,304738.06,306059
197,304684.68,305949
198,304526.95,306066
199,304590.85,305809
200,304529.75,305998
201,304668.88,305893
202,304690.73,306318
203,304568.56,305880
204,304723.63,305878
205,304572.32,305993
206,304553.14,305955
207,304560.97,305940
208,304669.28,306073
209,304760.8,306090
210,304623.94,306138
211,304558.83,305810
212,304647.51,305766
213,304715.81,305916
214,304614.87,306133
215,304643.81,305860
216,304662.05,306080
217,304778.22,305919
218,304641.48,306096
219,304736.02,305741
220,304657.95,305871
221,304613.36,305887
222,304616.18,305723
223,304602.6,305991
224,304608.14,305761
225,304625.47,306028
226,304658.44,305922
227,304605.15,305863
228,304564.76,305770
229,304678.59,305906
230,304623.4,305866
231,304665.18,305927
232,304622.65,305920
233,304584.85,305843
234,304594.84,306029
235,304685.16,306077
236,304681.36,306162
237,304764.49,305975
238,304685.18,306209
239,304607.62,305762
240,304755.02,306158
241,304631.53,305991
242,304645.31,305739
243,304531.3,305843
244,304450.16,305829
245,304673.37,306051
246,304680.13,305831
247,304614.96,306045
248,304737.01,305780
249,304599.39,305841
250,304656.71,305817
251,304607.94,305712
252,304598.57,305740
253,304588.12,305876
254,304651.7,305892
255,304559.78,305711
256,304550.05,306041
257,304567.48,305958
258,304672.86,306055
259,304645.84,305779
260,304639.06,305893
261,304542.6,305783
262,304671.48,305935
263,304494.39,305868
264,304637.33,306113
265,304641.42,305716
266,304618.63,305803
267,304569.94,305921
268,304685.67,305954
269,304686.84,305730
270,304631.63,305928
271,304468.22,305779
272,304610.34,305938
273,304761.76,305842
274,304630.5,305855
275,304580.61,306062
276,304714.14,306216
277,304656.29,306037
278,304628.2,305910
279,304666.06,306021
280,304658.56,305802
281,304660.05,305824
282,304606.17,305709
283,304615.54,305909
284,304487.44,306116
285,304651.68,305919
286,304755.0,306309
287,304691.86,306059
288,304538.83,305926
289,304646.7,306070
290,304511.49,305790
291,304636.44,305892
292,304500.47,305796
293,304572.72,305815
294,304668.98,306225
295,304601.12,305891
296,304602.94,306011
297,304628.2,305913
298,304679.13,306119
299,304483.27,305709
300,304701.79,306172
301,304581.89,305914
302,304662.64,306042
303,304548.23,306108
304,304682.79,305795
305,304567.72,305714
306,304690.17,306219
307,304621.25,306102
308,304614.2,306062
309,304605.97,305985
310,304544.84,305991
311,304609.19,305984
312,304633.31,305631
313,304677.01,306029
314,304628.49,306098
315,304716.87,305794
316,304682.38,305754
317,304582.13,306239
318,304674.31,305984
319,304742.42,305808
320,304600.91,305774
321,304680.48,306104
322,304538.35,305996
323,304742.72,306176
324,304632.91,305926
325,304585.21,306038
326,304686.69,305933
327,304644.27,305954
328,304583.04,306263
329,304603.97,305922
330,304600.17,305898
331,304735.28,305956
332,304721.07,305916
333,304580.26,305788
334,304499.58,306072
335,304721.05,306000
336,304686.9,305918
337,304459.35,305929
