genNum,genMean,genBest
0,186945.38,199726
1,241914.13,250881
2,262426.51,270248
3,277008.01,284239
4,286976.44,291692
5,293893.53,297483
6,298276.21,301439
7,300738.5,303720
8,302710.9,304528
9,303384.2,305158
10,304039.35,305458
11,303951.09,305547
12,303969.5,305669
13,304055.8,305417
14,303905.54,305477
15,304016.0,305394
16,303944.57,305519
17,303945.03,305779
18,304031.68,305672
19,303892.36,305780
20,303937.81,305653
21,304102.89,305638
22,304053.33,305570
23,304057.95,305846
24,304015.14,305196
25,304003.44,305998
26,303965.46,305682
27,303890.75,305561
28,303949.37,305535
29,303939.1,306067
30,303964.0,305652
31,303939.55,305817
32,303994.92,305573
33,303989.34,305455
34,304064.63,305590
35,304034.75,305675
36,304066.4,305522
37,303955.65,305743
38,304021.98,305813
39,304117.83,305336
40,304140.09,305734
41,304011.78,305997
42,303962.95,305761
43,304052.62,305924
44,304129.13,305462
45,304030.66,305508
46,304151.05,305906
47,304397.32,305884
48,304579.48,306156
49,304580.12,305880
50,304580.27,305892
51,304626.03,306046
52,304535.16,305915
53,304558.45,306219
54,304521.13,305840
55,304672.27,305801
56,304598.77,306153
57,304584.83,306132
58,304570.9,305841
59,304575.5,306218
60,304496.05,305564
61,304555.32,306133
62,304617.43,305673
63,304648.81,305714
64,304566.74,305936
65,304573.96,305721
66,304603.61,305911
67,304681.08,305780
68,304597.46,305922
69,304570.95,305755
70,304584.45,306067
71,304566.3,306029
72,304630.29,305918
73,304711.4,306233
74,304495.44,305726
75,304686.42,306068
76,304659.26,305814
77,304591.39,305753
78,304640.14,305923
79,304603.77,306158
80,304678.36,306079
81,304451.91,305853
82,304453.41,305934
83,304597.79,305924
84,304669.78,305790
85,304651.69,306052
86,304755.75,305896
87,304634.93,305845
88,304612.81,305807
89,304610.45,305935
90,304620.13,305954
91,304569.76,306117
92,304635.63,305994
93,304639.2,306016
94,304602.84,305847
95,304492.63,305694
96,304630.68,305833
97,304704.82,306169
98,304704.7,306054
99,304627.15,305954
100,304697.03,305881
101,304545.4,305951
102,304661.56,305904
103,304600.14,306017
104,304734.37,306123
105,304625.77,306348
106,304499.09,305777
107,304647.83,305705
108,304513.43,305953
109,304602.18,305866
110,304639.31,306009
111,304549.9,306011
112,304693.3,306132
113,304603.72,305889
114,304650.51,305933
115,304669.01,306022
116,304702.7,305779
117,304618.08,305732
118,304597.4,305835
119,304660.03,305937
120,304599.5,306044
